Time(s),Velocity(m/s) A8 ubx,metric A8 ubx,E A8 ubx,N A8 ubx,U A8 ubx,Velocity(m/s) Tesla ubx,metric Tesla ubx,E Tesla ubx,N Tesla ubx,U Tesla ubx,Velocity(m/s) BMW ubx,metric BMW ubx,E BMW ubx,N BMW ubx,U BMW ubx,Velocity(m/s) A6 ubx,metric A6 ubx,E A6 ubx,N A6 ubx,U A6 ubx,Velocity(m/s) Mercedes ubx,metric Mercedes ubx,E Mercedes ubx,N Mercedes ubx,U Mercedes ubx
47860.3,16.61580349,0.55,119.48397959999998,725.6262917,0.47622574799999995,16.41755403,0.724999999,141.38688159999998,689.203863,-3.360619316,17.06808694,0.4,166.1341056,654.3673116,0.51995634,16.87157797,0.35,194.6182957,611.587421,0.564827438,17.21186129,0.566666667,210.96126690000003,585.2946427999999,0.534639266
47860.4,16.59899405,0.55,118.59477040000002,726.9998138,0.47606669100000004,16.42824534,0.749999999,140.4761877,690.5672143999999,-3.3607466319999997,17.05130249,0.4,165.1913842,655.7859549,0.518818807,16.874000000000002,0.35,193.688961,612.9872477000001,0.563335335,17.20158241,0.558333334,210.0086943,586.722875,0.533491566
47860.5,16.58143506,0.55,117.7049325,728.3704956,0.475840824,16.43633263,0.774999999,139.5662715,691.9289936,-3.360874213,17.03436679,0.4,164.25161359999998,657.2023289,0.517708496,16.87304932,0.333333334,192.7566492,614.3792035,0.561696334,17.192,0.55,209.0549975,588.1516224999999,0.532324204
47860.6,16.564,0.55,116.81424299999999,729.7375972,0.47553103399999996,16.44061556,0.7999999990000001,138.6573506,693.2888867,-3.36100203,17.018,0.4,163.3145173,658.6158059999999,0.516614763,16.87053111,0.316666668,191.8222629,615.766123,0.559968746,17.18346366,0.55,208.10004019999997,589.5812597999999,0.531132999
47860.7,16.54754428,0.540000001,115.92267549999998,731.1006808999999,0.47512621899999996,16.44024202,0.8,137.7495685,694.6467101,-3.361130065,17.00278752,0.4,162.379684,660.026118,0.515525954,16.869,0.300000001,190.8870613,617.1524992999999,0.558235926,17.17593318,0.55,207.1442704,591.0115119,0.529920414
47860.8,16.53285118,0.530000001,115.03098899999999,732.4605178999999,0.47463931200000004,16.43575303,0.8,136.8427725,696.0028,-3.361258351,16.98877566,0.4,161.4461645,661.4344326,0.514426383,16.86990412,0.3,189.9521559,618.541921,0.556567286,17.16927086,0.55,206.18828259999998,592.4419416000001,0.528690576
47860.9,16.52068594,0.520000001,114.1401389,733.8181815,0.474089259,16.42803787,0.8,135.9367355,697.3576222999999,-3.361386933,16.97587597,0.4,160.51287549999998,662.842277,0.513299355,16.87026559,0.3,189.0180669,619.9343615,0.55497645,17.16333903,0.55,205.23267109999998,593.8721115000001,0.527447612
47861.0,16.511813800000002,0.510000001,113.25108090000002,735.1747452000001,0.473495005,16.41798583,0.8,135.03123080000003,698.7116434,-3.361515858,16.964000000000002,0.4,159.5787334,664.2511781000001,0.512128174,16.866,0.3,188.08516699999998,621.3288902,0.5534630970000001,17.158,0.55,204.2780304,595.3015842,0.5261956489999999
47861.1,16.507,0.500000001,112.36477020000001,736.5312822999999,0.472875495,16.40648618,0.8,134.12603149999998,700.0653291,-3.361645171,16.95313799,0.4,158.64286030000002,665.6621909,0.510902234,16.854741600000004,0.3,187.1535286,622.7246031000001,0.552017798,17.15309895,0.558333333,203.3248395,596.7299943,0.5249385089999999
47861.2,16.50662907,0.509999999,111.4818027,737.8889242,0.47225039700000004,16.39442821,0.8,133.2209106,701.4191457999999,-3.361774917,16.94359489,0.4,157.7051998,667.0744833,0.509635287,16.84099914,0.3,186.22202430000002,624.1207033,0.550594696,17.14841243,0.566666666,202.3731179,598.1572639,0.523678791
47861.3,16.50956266,0.5199999989999999,110.6013348,739.2490342,0.47164227200000003,16.38270121,0.8,132.3156415,702.7735594,-3.361905143,16.93575435,0.4,156.76590149999998,668.4867512,0.508347172,16.831,0.3,185.2892263,625.5164208,0.549138829,17.14369986,0.575,201.42276940000002,599.583387,0.52241879
47861.4,16.51428172,0.5299999989999999,109.72216340000001,740.6130336,0.471074403,16.37219445,0.8,131.4099971,704.1290362000001,-3.362035894,16.93,0.4,155.8251146,669.8976903,0.5070577310000001,16.82938873,0.3,184.3541737,626.9113697,0.547611411,17.13872066,0.583333333,200.4736983,601.0083577,0.521160802
