Time(s),Velocity(m/s) A8 azd,metric A8 azd,E A8 azd,N A8 azd,U A8 azd,Velocity(m/s) Tesla azd,metric Tesla azd,E Tesla azd,N Tesla azd,U Tesla azd,Velocity(m/s) BMW azd,metric BMW azd,E BMW azd,N BMW azd,U BMW azd,Velocity(m/s) A6 azd,metric A6 azd,E A6 azd,N A6 azd,U A6 azd,Velocity(m/s) Mercedes azd,metric Mercedes azd,E Mercedes azd,N Mercedes azd,U Mercedes azd
47858.2,16.34636364,0.1,137.0995845,697.376939,-0.193444532,16.32818182,0.1,160.4044575,661.4462391,-0.156024155,17.21545454,0.1,186.05168,623.2325157,-0.121407333,16.82,0.1,212.86214249999998,583.1048039,-0.091644115,17.32,0.1,230.8538173,556.1807438999999,-0.0655573
47858.3,16.35111111,0.1,136.1937165,698.7394166,-0.19475804300000002,16.32666667,0.1,159.4939773,662.8012637999999,-0.157252463,17.22,0.1,185.103722,624.6691619,-0.12270905300000001,16.81666667,0.1,211.92430409999997,584.4993922,-0.092875365,17.31333333,0.1,229.8990915,557.6247366,-0.06663159
47858.4,16.35090909,0.1,135.2876989,700.1018943,-0.19608430899999998,16.34090909,0.1,158.5832935,664.1566036,-0.158464116,17.22,0.1,184.1561731,626.1065847,-0.12399951599999999,16.81090909,0.1,210.98671869999998,585.8940144999999,-0.094076214,17.31,0.1,228.9452676,559.0686621,-0.06771008099999999
47858.5,16.35333333,0.1,134.38157969999997,701.4647997999999,-0.19739817,16.35,0.1,157.6714986,665.5130236,-0.159750669,17.22666667,0.1,183.2083666,627.5442552000001,-0.12526366,16.81,0.1,210.049933,587.2885921,-0.095280349,17.30222222,0.1,227.99124619999998,560.5118115,-0.068834978
47858.6,16.35454545,0.1,133.47549109999997,702.8278629,-0.19869572100000002,16.35545454,0.1,156.7594281,666.8687913,-0.16098837800000002,17.23363636,0.1,182.2596956,628.9816671,-0.126520639,16.80272727,0.1,209.11394719999998,588.68272,-0.096505362,17.29363636,0.1,227.0374778,561.9543537000001,-0.069978809
47858.7,16.35666667,0.1,132.5689826,704.1908025,-0.19997410100000002,16.36777778,0.1,155.8469074,668.2250317,-0.16226021599999998,17.24,0.1,181.31010590000002,630.4198442000001,-0.127847241,16.8,0.1,208.1780101,590.0766792999999,-0.097741379,17.28333333,0.1,226.08432909999996,563.3965361,-0.07109824099999999
47858.8,16.35909091,0.1,131.6619881,705.5541360000001,-0.201223139,16.37181818,0.1,154.93378059999998,669.5817897000001,-0.163528634,17.24636364,0.1,180.3593812,631.8579652000001,-0.129195953,16.79636364,0.1,207.2429629,591.4712239,-0.09897280900000001,17.27727273,0.1,225.13196209999998,564.8386289,-0.072217632
47858.9,16.36111111,0.1,130.7547358,706.9175485000001,-0.20246255300000002,16.37444444,0.1,154.0204681,670.9385255,-0.164744399,17.25111111,0.1,179.40808049999998,633.2960527,-0.130533476,16.79,0.1,206.3089317,592.8657575,-0.100200482,17.27333333,0.1,224.17979419999998,566.2799006,-0.073365279
47859.0,16.36090909,0.1,129.8470815,708.2807137,-0.203714161,16.38363636,0.1,153.1069458,672.296004,-0.165934213,17.25909091,0.1,178.4552302,634.7341627999999,-0.131887292,16.78909091,0.1,205.3750094,594.2603364,-0.101431071,17.26727273,0.1,223.2269901,567.7197663,-0.074538988
47859.1,16.36222222,0.1,128.9393678,709.6434291,-0.204970018,16.39666667,0.1,152.1924448,673.6538764,-0.167164481,17.26,0.1,177.5011669,636.1722619,-0.133213683,16.78444444,0.1,204.4419709,595.6550842,-0.102698284,17.26,0.1,222.27400649999998,569.1581922,-0.075736474
